id,question
23,What is the primary protein used in the Potato and Buffalo Chicken Casserole?
23,What kind of cheese is used in the topping of the Potato and Buffalo Chicken Casserole?
23,How many ratings does the Potato and Buffalo Chicken Casserole have?
23,At what temperature do you initially preheat the oven for the Potato and Buffalo Chicken Casserole?
24,What is the cooking time for Skillet Tarragon Chicken?
24,Can Skillet Tarragon Chicken be made with bone-in chicken breasts?
24,What type of wine is used in Skillet Tarragon Chicken?
24,How many stars is Skillet Tarragon Chicken rated?
24,What should be served alongside Skillet Tarragon Chicken according to the description?
25,How long does it take to cook the Lemon Baked Cod?
25,What is the main ingredient in the Lemon Baked Cod?
25,What temperature should the oven be set to for Lemon Baked Cod?
25,How is paprika used in the Lemon Baked Cod?
25,What type of dish should Lemon Baked Cod be baked in?
26,How long does it take to cook the Oven Barbecue Ribs?
26,What kind of ribs can be used in the Oven Barbecue Ribs recipe?
26,What is the suggested barbecue sauce for the Oven Barbecue Ribs?
26,What is the rating for the Oven Barbecue Ribs recipe?
26,Is smoked paprika a substitute for hickory smoke salt in the Oven Barbecue Ribs recipe?
27,How long does it take to cook the Balsamic Chicken Thighs?
27,Are the Balsamic Chicken Thighs cooked on the stovetop?
27,What can you serve with Balsamic Chicken Thighs according to the recipe description?
27,What kind of vinegar is used in the Balsamic Chicken Thighs recipe?
27,How are the chicken thighs prepared before cooking in the Balsamic Chicken Thighs recipe?
28,What type of ground beef is recommended for The Perfect Burger?
28,How long does it take to cook The Perfect Burger?
28,What is the purpose of making a shallow depression in the burgers according to The Perfect Burger recipe?
28,Can you name some optional 'Flavour Perk Stir-ins' for The Perfect Burger?
28,What is the rating for The Perfect Burger recipe?
29,How long does the Tabbouleh Salad (Parsley Salad) take to make?
29,What type of parsley is recommended for Tabbouleh Salad (Parsley Salad)?
29,Where did you learn to make Tabbouleh Salad (Parsley Salad)?
29,What do you need to do with the bourghul when making Tabbouleh Salad (Parsley Salad)?
29,How should leftovers of Tabbouleh Salad (Parsley Salad) be stored?
30,What type of pasta is used in the Creamy Cajun Chicken Pasta?
30,How long does it take to cook the Creamy Cajun Chicken Pasta?
30,What kind of cheese is used for garnishing the Creamy Cajun Chicken Pasta?
30,What is the main protein ingredient in the Creamy Cajun Chicken Pasta?
30,How is the chicken prepared in the Creamy Cajun Chicken Pasta before cooking?
31,"What type of cheese is used in the Cheese, Potato & Sausage Casserole?"
31,"How long should you bake the Cheese, Potato & Sausage Casserole for?"
31,"What kind of potatoes are suggested for the Cheese, Potato & Sausage Casserole?"
31,"What is the main meat recommended in the Cheese, Potato & Sausage Casserole?"
31,"How do you cut the sausage for the Cheese, Potato & Sausage Casserole?"
32,How long does it take to cook General Tso's Chicken?
32,What type of chilies are suggested for General Tso's Chicken?
32,Can you tell me how the General Tso's Chicken is rated?
32,What is used to coat the chicken in the General Tso's Chicken recipe?
32,What should you do if the sauce for General Tso's Chicken gets too thick?
33,How long does it take to make the Chicken Pot Pie?
33,What is the star rating for the Chicken Pot Pie recipe?
33,Which vegetables are diced for the Chicken Pot Pie?
33,How is the top of the Chicken Pot Pie prepared before baking?
33,At what temperature should I preheat the oven for the Chicken Pot Pie?
34,How long does it take to cook the Beer Bread?
34,What's the overall star rating for the Beer Bread recipe?
34,What kind of beer do you need for the Beer Bread?
34,Are there any ingredients to omit if using Self-Rising Flour in the Beer Bread?
34,Is there a special step when mixing flour for the Beer Bread?
35,What are the key ingredients for Southern Buttermilk Biscuits?
35,How long do you need to bake Southern Buttermilk Biscuits?
35,What's unique about the Southern Buttermilk Biscuits recipe according to the description?
35,Can you use a food processor for Southern Buttermilk Biscuits?
35,What should you preheat the oven to when making Southern Buttermilk Biscuits?
36,How long does it take to cook the Loaded Baked Potato Soup?
36,What type of cheese is used in the Loaded Baked Potato Soup?
36,What is the primary cooking method for the Loaded Baked Potato Soup?
36,What are the starting ingredients for the Loaded Baked Potato Soup?
36,How many stars did the Loaded Baked Potato Soup recipe receive?
37,How long do the Ground Beef Stuffed Green Bell Peppers need to bake in the oven?
37,What type of cheese is used in the Ground Beef Stuffed Green Bell Peppers recipe?
37,What is the suggested cooking time for the Ground Beef Stuffed Green Bell Peppers recipe?
37,What is the main protein ingredient in the Ground Beef Stuffed Green Bell Peppers?
37,How are the green bell peppers prepared before stuffing in the Ground Beef Stuffed Green Bell Peppers recipe?
38,What kind of meat is traditionally used in Traditional Irish Shepherd's Pie?
38,How long does Traditional Irish Shepherd's Pie need to bake in the oven?
38,Is there an option to make individual servings of Traditional Irish Shepherd's Pie?
38,How is the top of the Traditional Irish Shepherd's Pie finished before baking?
38,What is the oven temperature for cooking Traditional Irish Shepherd's Pie?
39,How long does it take to cook the Melt-In-Your-Mouth Chicken Breasts?
39,What is the main ingredient that makes the Melt-In-Your-Mouth Chicken Breasts moist?
39,What temperature should the oven be set to for baking the Melt-In-Your-Mouth Chicken Breasts?
39,How many boneless chicken breast halves are needed for the Melt-In-Your-Mouth Chicken Breasts?
39,What type of cheese is used in the Melt-In-Your-Mouth Chicken Breasts recipe?
40,How long does it take to cook the 30-Minute Chicken & Dumplings?
40,What type of biscuits can be used in the 30-Minute Chicken & Dumplings besides Jiffy Mix?
40,What is the star rating for the 30-Minute Chicken & Dumplings?
40,What ingredients are needed for the 30-Minute Chicken & Dumplings?
40,Is poultry seasoning used in the 30-Minute Chicken & Dumplings recipe?
41,How are the Oven-Roasted Greek Potatoes seasoned before baking?
41,What is a suggested way to prevent sticking when making Oven-Roasted Greek Potatoes?
41,How long do the Oven-Roasted Greek Potatoes need to cook in total?
41,What ingredient is recommended in generous amounts for the Oven-Roasted Greek Potatoes?
41,What does the recipe suggest doing if the pan gets dry while making Oven-Roasted Greek Potatoes?
42,What's the main ingredient in the Classic Potato Salad?
42,How long does it take to cook the Classic Potato Salad?
42,What is sprinkled on top of the Classic Potato Salad before serving?
42,Are there any eggs in the Classic Potato Salad?
42,How would you describe the popularity of the Classic Potato Salad based on its rating?
43,How long does it take to cook Zuppa Toscana?
43,What kind of meat is used in the Zuppa Toscana recipe?
43,What leafy greens can you use in Zuppa Toscana?
43,How many stars does the Zuppa Toscana recipe have?
43,What type of potatoes are used in Zuppa Toscana?
44,How long does it take to cook the Sour Cream Chicken Enchiladas?
44,What main ingredient in the Sour Cream Chicken Enchiladas recipe is used for the sauce?
44,What type of cheese is recommended for Sour Cream Chicken Enchiladas?
44,How are the chicken and onion prepared for the Sour Cream Chicken Enchiladas?
44,What temperature should the oven be set to for baking Sour Cream Chicken Enchiladas?
45,What kind of chicken is used in the Bourbon Chicken recipe?
45,How long does it take to cook the Bourbon Chicken according to the recipe?
45,Why is this recipe called Bourbon Chicken?
45,What is the purpose of using red pepper flakes in the Bourbon Chicken recipe?
45,What is the rating of the Bourbon Chicken recipe based on user reviews?
46,How do you prepare the baking pan for the Simple Baked Chicken Drumsticks?
46,What optional herb can be added to the Simple Baked Chicken Drumsticks?
46,What is the total cooking time for the Simple Baked Chicken Drumsticks?
46,How is the seasoning added to the drumsticks in the recipe for Simple Baked Chicken Drumsticks?
46,What was the overall recipe rating for the Simple Baked Chicken Drumsticks?
47,What type of casserole is the Chicken-Macaroni Casserole?
47,How long does it take to cook the Chicken-Macaroni Casserole?
47,What is the rating for the Chicken-Macaroni Casserole recipe?
47,Does the Chicken-Macaroni Casserole include cheese in its ingredients?
47,What should you sprinkle on top of the Chicken-Macaroni Casserole before baking?
48,How much cheese do I need for the Creamy Burrito Casserole?
48,What's the bake temperature for the Creamy Burrito Casserole?
48,How long does it take to cook the Creamy Burrito Casserole?
48,What meat options are suggested for the Creamy Burrito Casserole?
48,Is sour cream used in the Creamy Burrito Casserole recipe?
49,How spicy is the Chicken Tikka Masala according to the recipe description?
49,What is the total cooking time for the Chicken Tikka Masala?
49,What kind of marinade is used in the Chicken Tikka Masala?
49,What should you use to garnish the Chicken Tikka Masala before serving?
49,What type of cream is used in the Chicken Tikka Masala sauce?
50,How long does it take to cook the Chicken Tortilla Soup from start to finish?
50,What spicy ingredient in the Chicken Tortilla Soup can be adjusted according to taste?
50,What type of broth is used in the Chicken Tortilla Soup?
50,What optional topping is suggested for the Chicken Tortilla Soup?
50,How do you prepare the chicken in the Chicken Tortilla Soup after boiling it?
51,What is the name of the recipe?
51,How long does it take to cook Fantastic Taco Casserole?
51,What type of cheese is recommended in the Fantastic Taco Casserole recipe?
51,At what temperature should you bake Fantastic Taco Casserole?
51,How is the ground beef prepared in the Fantastic Taco Casserole?
52,What ingredients do you need to Broil a Perfect Steak?
52,How long does it take to cook the recipe 'Broil a Perfect Steak'?
52,Can you tell me the rating for the 'Broil a Perfect Steak' recipe?
52,What should you do with the steaks before placing them in the oven according to the 'Broil a Perfect Steak' recipe?
52,What cooking tool is suggested for the 'Broil a Perfect Steak' recipe to turn the steaks?
53,How long does the Award Winning Chili take to cook?
53,What kind of meat is used in the Award Winning Chili?
53,What is the rating for the Award Winning Chili?
53,Can you list some toppings suggested for the Award Winning Chili?
53,What type of beans are included in the Award Winning Chili?
54,What is the name of this corn recipe?
54,How many ears of corn do you need for Simple Oven-Roasted Corn on the Cob?
54,What's the oven temperature for making Simple Oven-Roasted Corn on the Cob?
54,How long does it take to cook Simple Oven-Roasted Corn on the Cob?
54,How many stars has the Simple Oven-Roasted Corn on the Cob recipe been rated?
55,What is the name of the recipe that involves chicken and pasta?
55,How long does it take to cook Angel Chicken Pasta?
55,What star rating does the Angel Chicken Pasta have?
55,Which type of pasta is used in the Angel Chicken Pasta recipe?
55,What kind of sauce is used with the chicken in the Angel Chicken Pasta dish?
56,What is the name of the dish for this recipe?
56,Can you make the Slow-Cooker White Chicken Chili on the stove instead of a slow cooker?
56,What kind of chicken is needed for the Slow-Cooker White Chicken Chili?
56,How long does it take to cook the Slow-Cooker White Chicken Chili in the slow cooker?
56,What are the optional toppings for Slow-Cooker White Chicken Chili?
57,What's the cook time for Broccoli Cheese Soup?
57,How is Broccoli Cheese Soup recommended to be served?
57,What is the main type of cheese used in Broccoli Cheese Soup?
57,Can you describe the rating for Broccoli Cheese Soup?
57,What type of bread is suggested to serve with Broccoli Cheese Soup?
58,What is the name of the recipe that includes Parmesan and breadcrumbs?
58,How long does it take to cook the Oven-baked Parmesan Chicken Strips?
58,What does the recipe description say the aroma of the Oven-baked Parmesan Chicken Strips is like?
58,How is the rating for the Oven-baked Parmesan Chicken Strips based on 74 reviews?
58,What do you need to combine in a shallow dish for the Oven-baked Parmesan Chicken Strips?
59,How long does it take to make the Copycat Red Lobster Cheddar Bay Biscuits?
59,What rating do the Copycat Red Lobster Cheddar Bay Biscuits have?
59,What temperature should the oven be for the Copycat Red Lobster Cheddar Bay Biscuits?
59,What type of cheese is needed for the Copycat Red Lobster Cheddar Bay Biscuits?
59,How do you finish the Copycat Red Lobster Cheddar Bay Biscuits before baking?
60,How much time will it take to prepare Chicken Alfredo?
60,What type of pasta is recommended for Chicken Alfredo?
60,How do you prevent the cooked pasta from sticking in the Chicken Alfredo recipe?
60,What combination of cheeses can be used in the Chicken Alfredo sauce?
60,How is chicken seasoned in the Chicken Alfredo recipe?
61,How long does it take to cook Crock Pot Chicken à La Antoinette on the stove?
61,What kind of soups are used in Crock Pot Chicken à La Antoinette?
61,Can red wine be substituted in Crock Pot Chicken à La Antoinette?
61,What is a suggested way to serve Crock Pot Chicken à La Antoinette?
61,What is the star rating for Crock Pot Chicken à La Antoinette?
62,What's the total cooking time for Curry Chicken?
62,What kind of mustard is used in the Curry Chicken recipe?
62,How is Curry Chicken best served according to the recipe description?
62,How many stars has the Curry Chicken received from reviewers?
62,Which ingredient in the Curry Chicken is responsible for its sweetness?
63,What is the cooking time for the Meatloaf recipe?
63,How many eggs are needed for the Meatloaf?
63,What temperature should the Meatloaf be baked at?
63,What is used as a glaze on top of the Meatloaf?
63,How is the Meatloaf rated on a scale of 5 stars?
64,What's the main meat ingredient in the Hamburger Stroganoff recipe?
64,How long does it take to cook Hamburger Stroganoff?
64,How many stars does the Hamburger Stroganoff recipe have?
64,What do you add to the Hamburger Stroganoff along with sour cream?
64,Is pasta or rice suggested to be served with Hamburger Stroganoff?
65,How long does it take to cook the Thin Pizza Crust?
65,What is the main characteristic of the Thin Pizza Crust described in the recipe?
65,What cooking temperature is recommended for the Thin Pizza Crust?
65,What type of cheese is suggested as a topping for the Thin Pizza Crust?
65,What is the rating of the Thin Pizza Crust recipe?
66,How long does it take to cook the King Ranch Chicken recipe?
66,What type of soups are used in the King Ranch Chicken recipe?
66,What kinds of cheese are needed for the King Ranch Chicken recipe?
66,How is the King Ranch Chicken recipe rated by others?
66,What do you use to layer the bottom of the dish in the King Ranch Chicken recipe?
67,What's the cooking time for Amish Chicken?
67,How many stars is the Amish Chicken recipe rated?
67,What kind of gravy does Amish Chicken make?
67,What temperature should you bake Amish Chicken at?
67,Which ingredients do you need to mix with the flour for Amish Chicken?
68,What is the name of the recipe that uses 1 1/2 lbs of ground beef?
68,How long does 'The Very Best Salisbury Steak' take to cook?
68,What type of soup is used in 'The Very Best Salisbury Steak' recipe?
68,How is 'The Very Best Salisbury Steak' sauce described in its recipe?
68,What is the star rating given to 'The Very Best Salisbury Steak'?
69,How long does it take to cook the Beef Nacho Crescent Bake?
69,What type of cheese is used in the Beef Nacho Crescent Bake recipe?
69,What rating does the Beef Nacho Crescent Bake have?
69,What should be done with the grated cheddar in the Beef Nacho Crescent Bake?
69,Is there an optional ingredient mentioned in the Beef Nacho Crescent Bake recipe?
70,How many sausages are needed for the Italian Sausage Dog?
70,What's the total cooking time for the Italian Sausage Dog?
70,What type of bread is used in the Italian Sausage Dog recipe?
70,Who is the inspiration behind the Italian Sausage Dog recipe?
70,What is added on top of the Italian Sausage Dog before grilling?
71,How long does it take to cook the Flat Iron Steak with Parmesan Sauce?
71,What kind of cheese is used in the Flat Iron Steak with Parmesan Sauce recipe?
71,Can you include shrimp in the Flat Iron Steak with Parmesan Sauce dish?
71,How is the steak prepared before cooking in the Flat Iron Steak with Parmesan Sauce recipe?
71,How many stars does the Flat Iron Steak with Parmesan Sauce recipe have?
72,How long does the Baked Salmon recipe take to prepare?
72,What are the main ingredients in the Baked Salmon recipe?
72,How is the salmon cooked in the Baked Salmon recipe?
72,What is the star rating of the Baked Salmon recipe?
72,What step should be taken before baking the salmon in the Baked Salmon recipe?
73,What is the main seasoning used in Lemon Pepper Chicken Breasts?
73,How long does it take to cook the Lemon Pepper Chicken Breasts?
73,How are the chicken breasts prepared in the Lemon Pepper Chicken Breasts recipe?
73,What kind of rice is used in the Lemon Pepper Chicken Breasts recipe?
73,What is the rating of the Lemon Pepper Chicken Breasts recipe?
74,How long does it take to cook the Sesame Crusted Tuna Steaks?
74,What rating do the Sesame Crusted Tuna Steaks have?
74,What type of vinegar is used in the Sesame Crusted Tuna Steaks?
74,What is the first step in making Sesame Crusted Tuna Steaks?
74,Which ingredient gives the Sesame Crusted Tuna Steaks their crust?
75,What is the cooking time for the Frank and Potato Bake recipe?
75,How is the onion prepared in the Frank and Potato Bake?
75,How many ratings does the Frank and Potato Bake have?
75,What type of cheese is used in the Frank and Potato Bake?
75,What is one reason someone might like the Frank and Potato Bake recipe?
76,What ingredients are needed for Teriyaki Pork Chops?
76,How much time does it take to make Teriyaki Pork Chops?
76,What is the rating for the Teriyaki Pork Chops recipe?
76,How are Teriyaki Pork Chops cooked after marinating?
76,Can you use the Teriyaki Pork Chops marinade as a sauce?
77,What is the main flavoring used in Garlic and Oregano Skillet Chicken?
77,How long does it take to cook Garlic and Oregano Skillet Chicken?
77,What rating does the Garlic and Oregano Skillet Chicken recipe have?
77,What type of chicken is used in Garlic and Oregano Skillet Chicken?
77,What should you do with the butter mixture when making Garlic and Oregano Skillet Chicken?
78,How would you describe the taste and texture of the Pulled Pork BBQ?
78,What's the total cooking time for the Pulled Pork BBQ?
78,What is one of the key ingredients in the rub for the Pulled Pork BBQ?
78,How long can you freeze the Pulled Pork BBQ?
78,How would you rate the Pulled Pork BBQ based on this recipe?
79,How much time does the Perfect Slow-Cooker Pot Roast take to cook?
79,What is the main protein in the Perfect Slow-Cooker Pot Roast?
79,What vegetables are included in the Perfect Slow-Cooker Pot Roast?
79,How is the Perfect Slow-Cooker Pot Roast seasoned?
79,How many stars has the Perfect Slow-Cooker Pot Roast recipe received?
80,How many loaves does the Crusty French Bread recipe make?
80,What is the average rating for the Crusty French Bread recipe?
80,How long does it take to bake the Crusty French Bread?
80,What kind of flour is needed for the Crusty French Bread?
80,At what temperature should you bake the Crusty French Bread?
81,What is the total cooking time for the Easy Oven-Baked Cod?
81,What type of fish can be used in the Easy Oven-Baked Cod recipe?
81,What is the star rating for the Easy Oven-Baked Cod recipe?
81,Which ingredient is used for brushing over the cod fillets before baking in the Easy Oven-Baked Cod?
81,What is the temperature setting for the oven in the Easy Oven-Baked Cod recipe?
82,What is the recommended cook time for the Corned Beef & Cabbage recipe?
82,How many stars is the Corned Beef & Cabbage recipe rated?
82,What type of bread does the Corned Beef & Cabbage recipe suggest serving with it?
82,Does the Corned Beef & Cabbage recipe include beer as a suggested ingredient?
82,Who does the description credit for inventing the Corned Beef & Cabbage recipe?
83,What's the overall rating for the Asian Noodle Bowl recipe?
83,How long does it take to cook the Asian Noodle Bowl?
83,Can you list at least three main ingredients in the Asian Noodle Bowl?
83,What should be added to the Asian Noodle Bowl three minutes before the pasta is done?
83,How is the Asian Noodle Bowl garnished before serving?
84,What's the name of the dish described as having gone through many recipe trials?
84,What is the total time needed to prepare the Best Ever Bruschetta?
84,How would you rate the Best Ever Bruschetta based on user feedback?
84,Which type of bread is used in the Best Ever Bruschetta?
84,What is mentioned about the preparation method of tomatoes in the Best Ever Bruschetta?
85,What's the cooking time for Properly Prepared Spaghetti Squash?
85,What does the Properly Prepared Spaghetti Squash description say about serving options?
85,How many stars has Properly Prepared Spaghetti Squash been rated?
85,What main ingredient is needed for Properly Prepared Spaghetti Squash?
85,What warning is given about adding tomato-based sauce to Properly Prepared Spaghetti Squash?
86,What is the cooking time for Teriyaki Chicken Noodle Salad?
86,What type of noodles does the Teriyaki Chicken Noodle Salad recipe suggest?
86,How would you describe the flavor profile of the Teriyaki Chicken Noodle Salad?
86,What is the star rating for the Teriyaki Chicken Noodle Salad recipe?
86,How many spring onions are needed for the Teriyaki Chicken Noodle Salad?
87,What is the rating for the Yakisoba recipe?
87,How long does it take to cook Yakisoba?
87,What type of meat is used in the Yakisoba recipe?
87,Does the Yakisoba recipe include soy sauce?
87,Are scallions optional in the Yakisoba recipe?
